date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:42:03	74764/74764	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20May%202023%2011:57:47%20GMT	https://pixelwibes.com/template/ihealth/html/dist/index.html	C:/My%20Web%20Sites/hospital_admin1/pixelwibes.com/template/ihealth/html/dist/index.html	(from )
17:42:04	113/113	---M-Z	200	added ('OK')	text/plain	etag:%22580d76-76-5f95ba2108b71-gzip%22	https://pixelwibes.com/robots.txt		(from )
17:42:04	15086/15086	---M--	200	added ('OK')	image/x-icon	date:Mon,%2031%20May%202021%2002:13:32%20GMT	https://pixelwibes.com/template/ihealth/html/dist/favicon.ico	C:/My%20Web%20Sites/hospital_admin1/pixelwibes.com/template/ihealth/html/dist/favicon.ico	(from https://pixelwibes.com/template/ihealth/html/dist/index.html)
17:42:04	3929/3929	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Nov%202020%2022:59:20%20GMT	https://pixelwibes.com/template/ihealth/html/dist/assets/plugin/datatables/responsive.dataTables.min.css	C:/My%20Web%20Sites/hospital_admin1/pixelwibes.com/template/ihealth/html/dist/assets/plugin/datatables/responsive.dataTables.min.css	(from https://pixelwibes.com/template/ihealth/html/dist/index.html)
17:42:05	5384/5384	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Nov%202020%2022:59:12%20GMT	https://pixelwibes.com/template/ihealth/html/dist/assets/plugin/datatables/dataTables.bootstrap5.min.css	C:/My%20Web%20Sites/hospital_admin1/pixelwibes.com/template/ihealth/html/dist/assets/plugin/datatables/dataTables.bootstrap5.min.css	(from https://pixelwibes.com/template/ihealth/html/dist/index.html)
17:42:05	345531/345531	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Oct%202021%2023:50:36%20GMT	https://pixelwibes.com/template/ihealth/html/dist/assets/css/ihealth.style.min.css	C:/My%20Web%20Sites/hospital_admin1/pixelwibes.com/template/ihealth/html/dist/assets/css/ihealth.style.min.css	(from https://pixelwibes.com/template/ihealth/html/dist/index.html)
17:42:05	36940/36940	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20May%202023%2011:58:31%20GMT	https://pixelwibes.com/template/ihealth/html/dist/coviddashboard.html	C:/My%20Web%20Sites/hospital_admin1/pixelwibes.com/template/ihealth/html/dist/coviddashboard.html	(from https://pixelwibes.com/template/ihealth/html/dist/index.html)
17:42:05	59059/59059	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20May%202023%2011:55:15%20GMT	https://pixelwibes.com/template/ihealth/html/dist/virtual.html	C:/My%20Web%20Sites/hospital_admin1/pixelwibes.com/template/ihealth/html/dist/virtual.html	(from https://pixelwibes.com/template/ihealth/html/dist/index.html)
17:42:06	48719/48719	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20May%202023%2011:58:18%20GMT	https://pixelwibes.com/template/ihealth/html/dist/doctor-all.html	C:/My%20Web%20Sites/hospital_admin1/pixelwibes.com/template/ihealth/html/dist/doctor-all.html	(from https://pixelwibes.com/template/ihealth/html/dist/index.html)
17:42:06	43676/43676	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20May%202023%2011:58:22%20GMT	https://pixelwibes.com/template/ihealth/html/dist/doctor-add.html	C:/My%20Web%20Sites/hospital_admin1/pixelwibes.com/template/ihealth/html/dist/doctor-add.html	(from https://pixelwibes.com/template/ihealth/html/dist/index.html)
17:42:06	36576/36576	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20May%202023%2011:58:52%20GMT	https://pixelwibes.com/template/ihealth/html/dist/appointment.html	C:/My%20Web%20Sites/hospital_admin1/pixelwibes.com/template/ihealth/html/dist/appointment.html	(from https://pixelwibes.com/template/ihealth/html/dist/index.html)
